States,Rainfall,Ground Water,Temperature,Soil type,Season,Crops,Fertilisers required,Cost of cultivation,Expected revenues,Quantity of seeds per hectare,Duration of cultivation,Demand of crop,Crops for mixed cropping
Haryana,47.5,15.0,28.0,Alluvial,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
Haryana,47.5,15.0,28.0,Black,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
Karnataka,121.4,22.0,28.0,Alluvial,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
Karnataka,121.4,22.0,28.0,Black,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
Madhya Pradesh,235.5,22.0,28.0,Alluvial,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
Madhya Pradesh,235.5,22.0,28.0,Black,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
Pudducherry,137.5,12.3,28.0,Alluvial,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
Pudducherry,137.5,12.3,28.0,Black,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
Arunachal Pradesh,325.0,5.0,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Arunachal Pradesh,325.0,5.0,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Arunachal Pradesh,325.0,5.0,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Bihar,125.6,7.5,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Bihar,125.6,7.5,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Bihar,125.6,7.5,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Goa,295.0,13.0,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Goa,295.0,13.0,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Goa,295.0,13.0,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Haryana,47.5,15.0,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Haryana,47.5,15.0,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Haryana,47.5,15.0,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Himachal Pradesh,127.5,22.0,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Himachal Pradesh,127.5,22.0,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Himachal Pradesh,127.5,22.0,30.5,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Karnataka,121.4,22.0,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Karnataka,121.4,22.0,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Karnataka,121.4,22.0,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Manipur,148.8,4.0,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Manipur,148.8,4.0,30.5,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Manipur,148.8,4.0,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Meghalaya,117.5,4.0,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Meghalaya,117.5,4.0,30.5,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Meghalaya,117.5,4.0,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Nagaland,215.0,18.1,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Nagaland,215.0,18.1,30.5,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Nagaland,215.0,18.1,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Sikkim,299.5,50.0,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Sikkim,299.5,50.0,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Sikkim,299.5,50.0,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Sikkim,299.5,50.0,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Sikkim,299.5,50.0,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Tamil Nadu,145.0,16.67,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Tamil Nadu,145.0,16.67,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Tamil Nadu,145.0,16.67,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Tripura,238.5,6.7,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Tripura,238.5,6.7,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Tripura,238.5,6.7,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Andaman and Nicobar Island,277.0,3.5,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Andaman and Nicobar Island,277.0,3.5,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Andaman and Nicobar Island,277.0,3.5,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Chandigarh,105.5,28.0,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Chandigarh,105.5,28.0,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Chandigarh,105.5,28.0,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Delhi,90.0,6.7,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Delhi,90.0,6.7,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Delhi,90.0,6.7,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Lakshadweep,30.0,3.8,30.0,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Lakshadweep,30.0,3.8,30.0,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Lakshadweep,30.0,3.8,30.0,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
Arunachal Pradesh,325.0,5.0,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Arunachal Pradesh,325.0,5.0,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Arunachal Pradesh,325.0,5.0,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Goa,295.0,13.0,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Goa,295.0,13.0,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Goa,295.0,13.0,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Gujarat,115.7,35.0,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Gujarat,115.7,35.0,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Gujarat,115.7,35.0,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Maharashtra,246.0,3.2,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Maharashtra,246.0,3.2,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Maharashtra,246.0,3.2,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Manipur,148.8,4.0,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Manipur,148.8,4.0,29.0,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Manipur,148.8,4.0,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Meghalaya,117.5,4.0,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Meghalaya,117.5,4.0,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Meghalaya,117.5,4.0,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Tamil Nadu,145.0,16.67,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Tamil Nadu,145.0,16.67,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Tamil Nadu,145.0,16.67,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
West Bengal,250.0,9.0,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
West Bengal,250.0,9.0,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
West Bengal,250.0,9.0,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Andaman and Nicobar Island,277.0,3.5,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Andaman and Nicobar Island,277.0,3.5,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Andaman and Nicobar Island,277.0,3.5,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Dadra Nagar Haveli and Daman and Diu,89.0,2.0,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Dadra Nagar Haveli and Daman and Diu,89.0,2.0,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Dadra Nagar Haveli and Daman and Diu,89.0,2.0,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Lakshadweep,30.0,3.8,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Lakshadweep,30.0,3.8,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Lakshadweep,30.0,3.8,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
Arunachal Pradesh,325.0,5.0,30.0,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Arunachal Pradesh,325.0,5.0,30.0,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Bihar,125.6,7.5,30.0,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Bihar,125.6,7.5,30.0,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Goa,295.0,13.0,30.0,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Goa,295.0,13.0,30.0,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Himachal Pradesh,127.5,22.0,30.0,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Himachal Pradesh,127.5,22.0,30.5,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Jharkhand,121.4,12.0,30.0,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Jharkhand,121.4,12.0,30.0,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Uttar Pradesh,134.65,6.0,30.0,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Uttar Pradesh,134.65,6.0,30.0,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Uttarakhand,164.5,7.5,30.0,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Uttarakhand,164.5,7.5,30.0,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
Arunachal Pradesh,325.0,5.0,32.5,Black,Kharif,Arhar,"NPK,Rhizobium","40,000","42,700",15kg,120-200,Moderate,"Red gram, Tur Daal"
Chhatisgarh,130.4,5.0,32.5,Black,Kharif,Arhar,"NPK,Rhizobium","40,000","42,700",15kg,120-200,Moderate,"Red gram, Tur Daal"
Madhya Pradesh,235.5,22.0,32.5,Black,Kharif,Arhar,"NPK,Rhizobium","40,000","42,700",15kg,120-200,Moderate,"Red gram, Tur Daal"
Punjab,60.0,8.9,32.5,Black,Kharif,Arhar,"NPK,Rhizobium","40,000","42,700",15kg,120-200,Moderate,"Red gram, Tur Daal"
Assam,156.2,1.62,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Assam,156.2,1.62,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Assam,156.2,1.62,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Gujarat,115.7,35.0,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Gujarat,115.7,35.0,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Gujarat,115.7,35.0,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Haryana,47.5,15.0,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Haryana,47.5,15.0,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Haryana,47.5,15.0,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Himachal Pradesh,127.5,22.0,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Himachal Pradesh,127.5,22.0,23.0,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Himachal Pradesh,127.5,22.0,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Maharashtra,246.0,3.2,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Maharashtra,246.0,3.2,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Maharashtra,246.0,3.2,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Manipur,148.8,4.0,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Manipur,148.8,4.0,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Manipur,148.8,4.0,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Meghalaya,117.5,4.0,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Meghalaya,117.5,4.0,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Meghalaya,117.5,4.0,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Rajasthan,48.8,32.0,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Rajasthan,48.8,32.0,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Rajasthan,48.8,32.0,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Sikkim,299.5,50.0,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Sikkim,299.5,50.0,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Sikkim,299.5,50.0,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Tamil Nadu,145.0,16.67,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Tamil Nadu,145.0,16.67,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Tamil Nadu,145.0,16.67,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
West Bengal,250.0,9.0,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
West Bengal,250.0,9.0,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
West Bengal,250.0,9.0,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Andaman and Nicobar Island,277.0,3.5,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Andaman and Nicobar Island,277.0,3.5,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Andaman and Nicobar Island,277.0,3.5,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Dadra Nagar Haveli and Daman and Diu,89.0,2.0,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Dadra Nagar Haveli and Daman and Diu,89.0,2.0,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Dadra Nagar Haveli and Daman and Diu,89.0,2.0,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Chandigarh,105.5,28.0,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Chandigarh,105.5,28.0,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Chandigarh,105.5,28.0,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Delhi,90.0,6.7,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Delhi,90.0,6.7,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Delhi,90.0,6.7,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
Assam,156.2,1.62,25.0,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Assam,156.2,1.62,25.0,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Gujarat,115.7,35.0,25.0,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Gujarat,115.7,35.0,25.0,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Karnataka,121.4,22.0,25.0,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Karnataka,121.4,22.0,25.5,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Maharashtra,246.0,3.2,25.0,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Maharashtra,246.0,3.2,25.5,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Nagaland,215.0,18.1,25.0,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Nagaland,215.0,18.1,25.5,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Rajasthan,48.8,32.0,25.0,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Rajasthan,48.8,32.0,25.0,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Tripura,238.5,6.7,25.0,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Tripura,238.5,6.7,25.0,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
West Bengal,250.0,9.0,25.0,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
West Bengal,250.0,9.0,25.0,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Dadra Nagar Haveli and Daman and Diu,89.0,2.0,25.0,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
Dadra Nagar Haveli and Daman and Diu,89.0,2.0,25.0,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
